DATE,LUZVIS PRICE (PHP/KWH),LUZON DEMAND (MW),VISAYAS DEMAND (MW),LUZON SUPPLY (MW),VISAYAS SUPPLY (MW)
06-30,0.9343586192991282,8923.058256036638,-215.51319928838512,-2601.71020419805,145.9813566895394
07-01,0.7521927751528867,9845.624488435797,44.70013848381015,-1864.5520105704368,785.8405073349197
07-02,0.27091375422908454,10003.66038815396,46.65907312489318,-2424.1336760426097,793.6820219724742
07-03,-0.2661990765519402,6956.570733183027,-578.4073226527155,-2132.387017394811,1006.1230854187976
07-04,-0.46981720618844114,4787.851078638397,-452.0584459453147,1345.0173960895377,1437.8106582170235
07-05,-0.2699200064055037,5129.408527811962,-722.7130917428051,1313.7741579104581,1306.0477026395179
07-06,-0.4958747309539426,6630.488481877909,-797.8734126870706,1164.060469633538,-208.71235665619076
07-07,0.35255459537824546,5586.332428116062,-622.1311896000195,-132.40732823241188,-242.2271321945619
07-08,1.279949537731725,5578.231486346545,-574.2430814036999,-2603.4226535988773,-508.84157398254183
07-09,0.7749124511977604,7562.047752044614,-145.351769474371,-1103.112926892878,-313.043273160424
07-10,0.7484316268947152,7560.730945335648,-61.97552603818998,2123.133199030363,-996.0609997355607
07-11,0.6790440837397461,7738.637230603201,-307.02824542001287,-1569.9380723066695,-1053.842013981931
07-12,0.26037751253520036,8924.531774187779,-572.7040567783547,-600.4447643873407,-1573.1505624748781
07-13,0.4965139419829704,6069.896376480749,-394.00178594491354,-3300.3764466832718,-1617.9937685020682
07-14,0.5337164183974732,6106.510685231663,-152.16448575726372,-3334.4778158676554,-1614.4981486975591
07-15,-0.5718596440008104,3988.366481262419,-633.6896121840963,-791.4453298661267,-971.0321375036206
07-16,-0.79179611083484,4026.5526099741955,-37.78616718236053,-3225.355055214912,-788.151194802826
07-17,-0.49083857897350175,7024.644022443321,236.878921654991,3289.1173329392664,-332.9778841959681
07-18,0.36797283416637583,8374.125258787184,107.25633925946684,997.1305625806937,-633.982753628243
07-19,0.05951076394030417,6650.366573408937,376.44119326316377,-373.5641921222767,-736.0822610252983
07-20,-0.4754270075251678,3037.444287247916,434.9810374821239,-382.61507206987255,-240.11139660239206
07-21,-0.663695176903229,2297.6542907150592,206.55610675000713,-3265.4178502562077,-14.112841377136327
07-22,-0.9341616502604165,200.762924319197,-60.96158327760777,-2458.806284019844,-51.44958947869464
07-23,-0.6287789716280408,2717.5420080212034,406.0369693562221,2762.448315484603,-596.0713473649839
07-24,-0.7079351057810537,2819.2745163807263,307.0954045732234,379.14768994013764,-150.40866298122035
07-25,-0.12991658239981907,1765.7303124114753,286.7773231561731,-389.1821919644135,295.9255673908071
07-26,0.2849439174980483,2147.981020379605,463.44789144557933,2039.3193742719636,178.6501108743794
07-27,-0.17646955520682278,2710.6098105395226,52.11963390328661,2365.2610970640753,627.125417567343
07-28,-0.23135791375644318,2279.098874672039,-150.79923029262875,5438.764952928614,-71.60565538744277
07-29,-0.15407960563939735,694.4372538730441,188.93983114746504,2915.688143431105,-1511.580955348099
07-30,-0.5395834240716005,1585.410858122966,266.4448417069334,5043.322801643986,-1222.50838838116
07-31,-0.04188078457816807,2212.575460415963,52.469226043309,2583.852195668982,-618.3917118251854
08-01,-0.3399865273417479,1898.5596321805801,109.71474540903922,2930.9754644493514,-218.21356755883681
08-02,-0.6897685584288764,1913.555154238729,-140.00529295517543,3961.8729406661587,101.5661226957738
08-03,-0.5158997415055678,4604.97924772545,-271.3597735894464,3235.415876765523,872.1518012087008
08-04,-0.33559468844396806,5590.634260977337,-220.15965539788687,4969.249067268043,747.6099063361048
08-05,-0.886786536882695,6374.82312941516,-441.9791066779509,7146.538872251948,612.4820427746655
08-06,-0.8840971067826086,5454.498886306984,-198.164507077388,4637.164685063625,810.2857252014846
08-07,-1.065598152872999,2967.6830580716,178.37768547816697,3437.1030419066537,496.4329301331977
08-08,-0.7219596033991357,901.4437464702614,306.95979975583384,330.56155530542935,-209.02802540476083
08-09,-0.36485774668456833,1033.6928888806697,338.925475677338,1268.405763420455,-863.3633253654175
08-10,-0.6479424522661525,214.6030880425298,641.6841065890553,2842.5120654689463,-1204.3067270873255
08-11,-0.18284353097232856,-1963.9340709169242,486.50262008394344,-635.4242156528219,-1392.1194438777256
08-12,0.4065756773404122,-422.30254103096445,817.8068478645462,-1433.4617296513004,-1185.1728847385787
08-13,-0.12007507520790334,3053.761865567305,940.6374944318433,-875.1975998141445,-847.2622551493329
08-14,-0.006500615753609839,5871.519814239933,602.61021536313,-734.0651333821089,-1080.0566353448248
08-15,0.9780775945160785,6681.638623969315,585.6976133981359,-1482.2284399441685,-1040.3308394150713
08-16,0.636109001132798,7429.55665091985,985.3376533118108,16.56118891448466,-1019.8000141311065
08-17,0.5499125864840256,6563.919687655103,840.8313135777362,-753.1582820311388,-829.0094628197483
08-18,0.5113556043205764,5205.962176445154,686.0009033935632,-1723.2592206871568,-976.0869154222805
08-19,-0.9476973008696183,-227.38828975500925,-110.39506452054995,-819.1685546464953,-1143.9725284944816
08-20,-1.237328320867379,-7651.007249105857,-1474.5824218671496,3416.9149098286,-969.2810182790143
08-21,-0.9669983167294592,-3602.1858953451724,-391.84610015308357,4645.765751994498,-1219.2600951476934
08-22,-0.9187625722131951,544.4233253431297,268.5054857488466,3205.341995334556,-199.0578217228308
08-23,-0.837068738981994,2104.3370470099094,504.7795765431473,4854.736849242156,-734.7939044623539
08-24,-0.8583568039895403,638.0104555651211,634.8646262415577,7893.296008433511,-912.2327660668396
08-25,-0.8182569042221348,-1304.4769969364181,301.3821612628634,5420.064697957531,-814.94231260284
08-26,-0.8143921642720815,-2050.308872138531,53.93609550139484,2654.270491199759,-843.0667123678033
08-27,-1.1046529950982835,-692.4041524287175,249.54286731331,4098.999239432189,-424.05046634020323
08-28,-1.0523211970921311,91.57727960987478,190.11128296084007,7230.0715884474175,-285.0039072010526
08-29,-0.7235414212647127,519.4174200633397,9.037819939091605,3888.8339374626266,-648.4875437566201
08-30,-1.0155794862722587,-1394.6171948648184,-494.3002223390131,7291.839104481773,-664.4445071223648
08-31,-0.9546245636738039,-3902.623629753838,-461.7623350672143,9354.620827273908,-410.76847635895024
09-01,-0.9333966469461897,2127.7480175489386,381.9583310695519,8055.316229126706,-959.4673771023868
09-02,-0.5549929311318182,4277.905574832138,518.0030676564154,8580.933509648778,-600.9976477088397
09-03,-0.8837038598053782,5634.609903152535,574.7902699967057,7378.646230483964,-475.0199535403347
09-04,-0.6481157017209482,6489.546325406385,381.4236562900285,12209.099655820111,-732.8358797240847
09-05,0.5433284576681142,7747.24791400074,666.9764163602563,10853.41452929719,-1176.201277532099
09-06,-0.6666487788984667,7515.084140559876,511.2704680156134,8472.594412558983,-1088.303720349898
09-07,1.363527767966133,6793.8017761209685,-148.3125840472282,1198.560264509637,-1614.2539713868773
09-08,-0.26327921419731587,3160.385556496145,-589.6651077343367,4668.641224092367,-1390.8235570618185
09-09,-0.9221106582002956,5495.962683250971,-93.40902085393164,9186.502242383502,-1290.2238276682679
09-10,-1.1819543331230404,5043.011434271937,-285.08130970738017,9023.64036439286,-1332.8626109948732
09-11,-1.7336823850842722,-3166.1683861356605,-859.7782560950759,11824.302419865988,-1296.950396278429
09-12,-1.2753533594199329,559.8216564704421,-253.9362592342369,10795.048310955563,-772.1427803878091
09-13,-1.0784379019225867,2308.1905640471764,-320.69191403680674,9437.396374256517,-549.395047080364
09-14,-1.0593474607331337,-1319.6706653623703,-391.6894475086489,6732.4351811973565,-693.8995055537407
09-15,-0.7772307638359178,1726.70137332982,-45.95312579458407,3709.7758668075003,-61.081243870560236
09-16,-1.2281806031422244,2577.6796742529523,-339.9600526128084,8804.854321497876,-214.2857414828787
09-17,-0.8611736583650342,3229.114726643786,-557.7908541864133,5831.408725307622,-402.7677929112456
09-18,-0.8550385335487058,4022.4738494847193,-167.4510099674544,4040.788060624206,271.1862417660609
09-19,-0.7493911778126117,1815.501856865766,-433.79179197158805,5861.252131752932,265.5903742907252
09-20,-0.5213101952011102,1960.8562830335175,-378.2362921753318,84.42610503430058,360.8403580874129
09-21,-0.5697991734506658,5788.786051667006,-287.50975519708,2907.5408415250545,245.52458845943775
09-22,0.042670100093647474,7389.167092316154,-98.2881105867326,1754.5983764502535,913.6814607101294
09-23,-0.5901809133809568,7308.467506742214,-21.72752272785108,1844.9514691053855,1060.828841767085
09-24,-0.6346832641027882,7907.667334084134,238.20175397643095,3256.6269100971363,551.8185907301089
09-25,-0.5041689807737396,7296.62723970393,705.2140052403976,2080.2390242786787,349.6730559357928
09-26,-0.5361054476077693,8691.767184462668,923.989857287146,9133.219377207799,829.8488714350203
09-27,-0.17092629148028632,8921.727872861335,870.5934979835977,7228.212978669205,884.9010861514682
09-28,0.4702949390111889,8379.461555389162,887.0370604021679,7970.855875629616,933.7929681868994
09-29,0.4438633645450657,6565.219504061797,675.2105641123192,6095.136267697684,1245.5608384806496
09-30,-0.6344607409060555,5066.326963497651,783.7915042216861,8168.118205753991,1282.0045991853563
10-01,0.2729313963042721,6388.756927825865,1063.3348709455374,5899.532844397398,1027.4024694790967
10-02,-0.3332069622453486,4667.011158298894,347.61170146586755,2550.5094986963873,-233.87396551091317
10-03,-0.046902561499469406,4197.097874094813,116.80360047934548,3734.0963095511497,-307.32137897450247
10-04,-0.4901942142434804,4468.898092826148,-234.7050875913219,2728.9122006406997,-1485.433215138678
10-05,-0.47066280762676027,4699.217685334394,-294.0094703782354,4494.793003667683,-2188.417791028887
10-06,1.0741340914883293,4998.87426414402,737.4246986939526,297.63877734042967,-583.5394706372906
10-07,0.37935613737445545,5090.8780053802575,1036.2706094491155,-76.76169164825114,-119.72298977602799
10-08,0.1596540149631259,5565.709535266199,883.8030172688574,1900.835667151704,464.86274744531204
10-09,-0.5131736782244593,5811.801730514177,525.7436442666776,7099.905843955565,1474.8277605962016
10-10,-0.3400385534081301,6244.032086231814,684.9711597185179,7535.85840823498,2064.316844197187
10-11,0.9595580847806707,4606.355984023828,720.7599276165346,1946.974397171929,2345.5342839625605
10-12,-0.8302389495680368,1983.7409385673084,466.9209068648492,5334.168233466975,2527.748064236737
10-13,0.3159162339567073,2604.933329509997,309.9766023558242,4977.519153910776,2060.0318445109124
10-14,-0.630329267450056,687.2145658538683,282.94893189767845,6427.712050871212,2570.102160988613
10-15,-1.2332975346754753,-185.86584163787128,11.138091185130051,8737.57627855572,2405.8347083860795
10-16,-0.6984482872237913,465.11402484297844,279.7346868718013,8285.214204870377,1743.086159893133
10-17,-0.926197050209158,2695.3154177426036,764.3551573138501,10372.639313181095,1475.6983550401098
10-18,-1.1496385724900247,1471.9320748301204,614.462124820482,11462.167063370476,959.3154816939323
10-19,0.13859423660549502,2351.243448160287,771.4782899787756,6744.199666788831,1443.7403969974655
10-20,0.9930754149117131,2814.8526688485845,738.8451400685714,1131.4906655105046,1095.6446273694894
10-21,0.0589176499693985,4087.2110089106523,1132.8538688276492,-209.8422496621414,-206.90458648549216
10-22,0.20765274216994142,6690.299681653723,1276.3342218528692,138.09233027283335,-136.66252832481683
10-23,-0.46044957593610436,6639.079548134587,1064.5069427841536,5005.104581440703,192.40933414114292
10-24,-0.047424692476591895,4392.361958646741,1018.1669435588861,6204.053153547911,361.80422987520467
10-25,-0.6266763908827032,2505.373527671636,814.7748895390982,3897.592469295025,-334.28202898956044
10-26,-0.7138701962685925,-1394.6340813856625,288.4971212335943,3234.707107938406,-261.0828671106841
10-27,0.16756646148968068,2047.5649631773802,588.568863691301,-3090.422578271412,286.07451394627356
10-28,0.12848142975023574,999.7115615564745,612.7834632918606,-1340.062088356004,917.0133040051851
10-29,-0.8813650175143226,-3570.3120944675616,48.72839557344287,727.2083232815161,438.9453817353303
10-30,-1.5048277400561152,-13242.751797458317,-1602.249177037346,1585.2645079131803,-72.88054444841764
10-31,-1.8382788839938633,-27701.308525889417,-3973.242796614864,-31.85079473502367,265.01380334043887
11-01,-1.4713016195819701,-24070.609285631646,-2840.6094103215396,-350.35414043601907,-552.2169173638599
11-02,-0.5700546226195227,-11196.579712692854,-1244.1364936955363,-893.8784841800932,82.8435361001365
11-03,0.841000430442077,-1374.6534665642566,72.11528790111373,1706.5834930151427,155.42306979897518
11-04,0.1527715630861939,1855.31191850761,603.8641340770184,4716.565372363066,953.482877470413
11-05,0.2569609931862804,3146.300395555983,265.2474225229831,4482.402085370446,-26.404751257368787
11-06,0.64965368486497,3663.3608882599233,254.7547814190458,2006.358641822053,-346.0645717659683
11-07,0.9117225996356368,2582.439776267201,120.12671957146748,2049.5580554165354,53.02707543580339
11-08,0.5882605294095651,-221.83202065703577,508.39650508201197,3486.8388388740505,603.4210514046949
11-09,-0.5347649785203554,-217.29872951864317,723.5171712187796,6330.860463818801,770.6810352013742
11-10,-0.2517800493987427,1626.8263424416712,691.6648432263873,6002.346531033636,360.32870980040786
11-11,-0.005031258568063232,620.619516163226,643.3788557428024,7897.30257867899,512.6662865520778
11-12,-0.6542943724992882,-12485.873415790371,1055.9715375351432,2624.0603288683797,592.2762116403468
11-13,-1.0084591498356013,-2279.610183360399,1419.05071639207,7794.596239527443,763.8994243998493
11-14,-0.3659416049279481,445.2761410460863,1567.9933003370547,8104.3858292471605,1017.8565706231481
11-15,-0.6214115029426703,3438.746809875278,1417.8583891744086,7561.668667499151,1009.1192745763841
11-16,-0.7653885764303201,2360.4777526770667,1086.7489183248724,7774.460057610296,737.7992779425387
11-17,-0.3517945475044026,3483.5856035023517,1372.222617729741,5405.3915651382285,1223.7443106628969
11-18,-0.325525371807448,4321.340421059524,1331.2708768214973,8183.817906325653,909.232846318681
11-19,-0.6164960852168204,4519.89132472238,1050.0541652674624,11908.80923772838,713.0748849098842
11-20,-1.067998435938652,3555.5173751562766,1008.7161229893566,9937.781175784701,489.0954949296588
11-21,-0.3675056790283896,2682.8858913435847,1546.2888439206433,7452.602154936912,719.0306646363193
11-22,-0.461425348732609,2651.75068933129,1470.560194988915,8513.219122347427,852.1462453018854
11-23,-0.9793685018027772,874.4248806653667,1083.8468102450574,9772.480806000614,1957.0735089420093
11-24,-0.025195053437851153,-1373.1298908185506,644.3228579865213,7337.716207853418,1940.7585025234275
11-25,0.0771899082995468,-1555.64708891695,820.7186708943268,2547.9900832874077,2382.6365880813637
11-26,0.3538023651445782,238.26545858152156,1302.3481432933231,426.69873367249966,2933.2946736393023
11-27,0.8297481553229419,1046.5130354341875,993.8159718567033,302.4860337640233,2332.8041486297207
11-28,-0.9749350499324839,-3792.8538691221397,450.78438750423385,-1293.744826614096,3200.281275283545
11-29,-0.6075729192453136,-11825.712358805673,-516.8875099597801,-647.1950803386155,2821.7198305087995
11-30,-0.25068697903433373,-9475.864781952998,-410.01968139640053,1113.3228851149447,2360.803043268299
12-01,-0.428417803337379,-4665.768281421253,225.15147397715594,1181.299598122344,2222.569974227412
12-02,0.12360430778031944,-7490.025205547051,74.86666066186848,-4761.783473606076,2374.050545108244
12-03,-0.05672044998652168,-3492.1267480681613,789.455819949319,364.3138069160008,1994.9677891788972
12-04,-1.1800039487840224,-2111.5355312937863,904.7635702348124,4245.49273127369,1196.777812114522
12-05,-0.5692019942220965,-2610.7407920144974,1027.5257236514271,4219.262634104962,966.017913328037
12-06,-0.5961524858441238,-3117.1331368839296,813.5681119016953,789.8539067992325,1539.9945898840122
12-07,-0.7916589135392108,-6477.799845745541,451.12987392887425,1144.8409916265891,1811.835728279523
12-08,-0.8012587854613034,-7534.703345213799,346.40122499714965,-124.66348910378707,1566.035046714167
12-09,1.0332315252650055,-3139.690993410039,1070.7273705859702,-2431.295582358638,22.35221250693815
12-10,-0.2148265984509553,-3176.7588764399475,1018.3881541395675,-3671.4468145567184,-263.53860604472067
12-11,0.2817367716360845,-1901.8807712115508,857.2959044250616,-3832.0857179876807,238.52732687133883
12-12,-0.05303253929448816,-2938.586227626967,425.7539482526277,-3944.255169363842,1007.8273498069626
12-13,-0.27351189588716174,-5860.136693827137,959.4750057788285,-809.1635835579946,1125.9230870283004
12-14,0.37882185906615357,-9385.793617952933,230.78158189602243,-4419.438807928303,1307.1527577134343
12-15,-0.005093407506950306,-11258.302988262678,-474.8891413996962,-3342.314032298596,1144.568984171565
12-16,-0.1752903113925137,-10755.314119824876,-2395.4487100965875,319.3195495933261,900.5645452676579
12-17,0.07609399802916425,-10716.55499698394,-2052.6982983629537,-992.3295495323587,-3603.7397762194164
12-18,-0.7966903161629869,-8875.18648079662,136.51512706931095,4381.372545079739,-1781.084547804341
12-19,-0.970563834529959,-11034.576085940034,-4048.1109778311047,1418.3919586742331,-1563.9188692914142
12-20,-0.27335206261643513,-11424.058450378941,-3704.38130973739,4408.427928041709,-2377.15898334209
12-21,-0.25991442638458145,-13223.660579984185,-3990.8790389039505,3229.675991342644,-1836.5355748878758
12-22,-1.556700208287105,-20460.01535146811,-4316.802208383621,8123.052273821647,-1332.8793288602742
12-23,-1.8475910130206787,-33933.939203186856,-5836.428313284037,10170.035170782085,-2378.3403235371707
12-24,-3.2850935268214396,-44285.12998249857,-7273.0912087911065,9539.027206685761,-2224.3276313256197
12-25,-1.8243585976998278,-36331.17555633081,-5540.437861636728,9026.293782706847,-2388.9269312862716
12-26,-1.8243585976998278,-36331.17555633081,-5540.437861636728,9026.293782706847,-2388.9269312862716
12-27,-1.3325820834510136,-23335.70058221787,-3776.6851015665,8977.254937984308,-2404.211100131467
12-28,-1.631719463527053,-23849.14419910298,-4053.1695234923545,3903.904539445706,-2740.6936877633534
12-29,-1.6625315011373385,-29863.952982328574,-4717.577624478874,3869.529170261334,-1078.629539583111
12-30,-1.8067293834964828,-37017.75002387121,-5658.173983782419,5756.515660176748,-1342.0853013832964
12-31,-2.4119171549619542,-48713.34549985611,-6317.529247195553,6280.592275336771,-1715.287939895809
